"language"	"definition"	"uralex_mng"	"mng_item"	"lgid3"	"item"	"item_UPA"	"item_IPA"	"form_set"	"cogn_set"	"borr_source"	"borr_qual"	"etym_notes"	"ref_borr"	"glossing_notes"	"general_notes"	"ref_abbr"
"Võro South Estonian"	"A generic noun for arterial blood."	"blood"	7	211	"veri"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun for arterial blood."	"blood"	7	212	"veʾr"			1	"a"							"LivWb"
"Erzya"	"A generic noun for arterial blood."	"blood"	7	301	"veŕ"	"veŕ"	"verʲ "	1	"a"							"MordWb"
"Meadow Mari"	"A generic noun for arterial blood."	"blood"	7	401	"βür"	"βür"	"βyr "	1	"a"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for arterial blood."	"blood"	7	501	"vir"	"vir"	"vir "	1	"a"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for arterial blood."	"blood"	7	503	"vir"	"vir"	"vir "	1	"a"							"KoPRSl"
"Udmurt"	"A generic noun for arterial blood."	"blood"	7	504	"vir"	"vir"	"vir "	1	"a"							"WotjWsch"
"Hungarian"	"A generic noun for arterial blood."	"blood"	7	601	"vér"		"veːr"	1	"a"							"FMSz"
"Sosva Mansi"	"A generic noun for arterial blood."	"blood"	7	701	"kēlp"	"kēlp"	"keːlp "	2	"b"							"WogWb"
"Sosva Mansi"	"A generic noun for arterial blood."	"blood"	7	701	"wiɣər"	"wiɣər"	"wiɣər"	1	"a"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for arterial blood."	"blood"	7	807	"wər"	"wər"	"wər "	1	"a"							"DEWbOstj"
"Nganasan"	"A generic noun for arterial blood."	"blood"	7	901	"kam"	"kam"	"kɑm "	3	"c"							"SlNgaRus"
"Tundra Nenets"	"A generic noun for arterial blood."	"blood"	7	902	"weya"			4	"d"							"JurSWb"
"Selkup"	"A generic noun for arterial blood."	"blood"	7	907	"ke̮m"	"ke̮m"	"kɤm "	3	"c"							"SolkWb"
"Proto-Uralic*"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	0	"*luwi̮"			1	"a"							"UEW, Sam88"
"South Saami"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	101	"måaroe"			7	"g"							"NSsNdb"
"Ume Saami"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	102	"dàktee"			3	"c"							"WbWlap"
"Pite Saami"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	104	"dákkte"			3	"c"							"EZ"
"North Saami"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	105	"dákti"			3	"c"							"SSSg"
"Inari Saami"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	106	"tähti"			3	"c"							"InsSSk"
"Skolt Saami"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	107	"täʹhtt"			3	"c"							"SKosSk"
"Kildin Saami"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	108	"tāxx’t"		"taːxːʲt"	3	"c"							"WOLD"
"Standard Finnish"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	203	"luu"		"luː"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	204	"luu"			1	"a"							"KKSV"
"Veps"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	207	"lu"			1	"a"							"VVS"
"Ingrian"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	208	"lū"	"lū"	"luː"	1	"a"							"InkmSk"
"Western Votic"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	209	"лū"	"lū"	"luː"	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	210	"kont"		"kont"	2	"b"							"SVSk"
"Standard Estonian"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	210	"luu"		"luː"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	211	"luu"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	212	"lū"			1	"a"							"LivWb"
"Erzya"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	301	"lovaža"	"lovaža"	"lovɑʒɑ"	1	"a"			"Deriv. of PU *luwi̮"				"MordWb"
"Erzya"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	301	"pakaŕ"	"pakaŕ"	"pɑkɑrʲ"	4	"d"							"MordWb"
"Meadow Mari"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	401	"lu"	"lu"	"lu"	1	"a"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	501	"li̮"	"li̮"	"lɯ"	1	"a"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	503	"koska"	"koska"	"koskɑ"	6	"f"	"Russian"	"clear"		"Rogov1869"			"KoPRSl"
"Komi-Permyak"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	503	"li̮"	"li̮"	"lɯ"	1	"a"							"KoPRSl"
"Udmurt"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	504	"li̮"	"li̮"	"lɯ"	1	"a"							"WotjWsch"
"Hungarian"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	601	"csont"		"t͡ʃont"	5	"e"							"FMSz"
"Sosva Mansi"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	701	"luw"	"luw"	"luw "	1	"a"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	807	"lŏɣ- ~ lŏχ-"	"lŏɣ-, lŏχ-"	"lŏɣ-, lŏχ-"	1	"a"							"DEWbOstj"
"Nganasan"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	901	"latə̄"	"latə̄"	"lɑtəː "	1	"a"			"Deriv. of PU *luwi̮"				"SlNgaRus"
"Tundra Nenets"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	902	"li"			1	"a"							"JurSWb"
"Selkup"	"A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton."	"bone"	8	907	"lī̮"	"lī̮"	"lɯː"	1	"a"							"SolkWb"
"Proto-Uralic*"	"A generic noun for the root of a plant."	"root"	9	0	"*wanča"			4	"d"							"UEW, Sam88"
"South Saami"	"A generic noun for the root of a plant."	"root"	9	101	"roehtse"			2	"b"	"North Germanic"	"clear"	"Scand *gaitiz "	"Koivulehto1999a"			"NSsNdb"
"Ume Saami"	"A generic noun for the root of a plant."	"root"	9	102	"ruahdas"			2	"b"	"North Germanic"	"clear"	"Scand *gaitiz "	"Koivulehto1999a"			"WbWlap"
"Pite Saami"	"A generic noun for the root of a plant."	"root"	9	104	"ruohtas"			2	"b"	"North Germanic"	"clear"	"Scand *gaitiz "	"Koivulehto1999a"			"EZ"
"North Saami"	"A generic noun for the root of a plant."	"root"	9	105	"ruohtas"			2	"b"	"North Germanic"	"clear"	"Scand *gaitiz "	"Koivulehto1999a"			"SSSg"
"Inari Saami"	"A generic noun for the root of a plant."	"root"	9	106	"ruotas"			2	"b"	"North Germanic"	"clear"	"Scand *gaitiz "	"Koivulehto1999a"			"InsSSk"
"Skolt Saami"	"A generic noun for the root of a plant."	"root"	9	107	"vuẹʹddes, vuäʹdˈd"			3	"c"	"Indo-Iranian"	"clear"	"Borrowed to PU"	"Holopainen2019"			"SKosSk"
"Kildin Saami"	"A generic noun for the root of a plant."	"root"	9	108	"vuen’tes’"		"vuenʲtesʲ"	3	"c"	"Indo-Iranian"	"clear"	"Borrowed to PU"	"Holopainen2019"			"WOLD"
"Standard Finnish"	"A generic noun for the root of a plant."	"root"	9	203	"juuri"		"juːri"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for the root of a plant."	"root"	9	204	"juuri"			1	"a"							"KKSV"
"Veps"	"A generic noun for the root of a plant."	"root"	9	207	"juŕ"			1	"a"							"VVS"
"Ingrian"	"A generic noun for the root of a plant."	"root"	9	208	"jūri"	"jūri"	"juːri "	1	"a"							"InkmSk"
"Western Votic"	"A generic noun for the root of a plant."	"root"	9	209	"jūri"	"jūri"	"juːri "	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun for the root of a plant."	"root"	9	210	"juur"		"juːr"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic noun for the root of a plant."	"root"	9	211	"juur'"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun for the root of a plant."	"root"	9	212	"jūŕ"			1	"a"							"LivWb"
"Erzya"	"A generic noun for the root of a plant."	"root"	9	301	"jur"	"jur"	"jur "	1	"a"							"MordWb"
"Erzya"	"A generic noun for the root of a plant."	"root"	9	301	"koŕon"	"koŕon"	"korʲon"	7	"g"	"Russian"	"clear"		"MordWb"			"MordWb"
"Erzya"	"A generic noun for the root of a plant."	"root"	9	301	"undoks"	"undoks"	"undoks"	3	"c"	"Indo-Iranian"	"clear"	"Borrowed to PU"	"Holopainen2019"			"MordWb"
"Meadow Mari"	"A generic noun for the root of a plant."	"root"	9	401	"βož"	"βož"	"βoʒ "	4	"d"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun for the root of a plant."	"root"	9	501	"vuž"	"vuž"	"vuʒ "	4	"d"							"SyrjWsch"
"Komi-Permyak"	"A generic noun for the root of a plant."	"root"	9	503	"vuž"	"vuž"	"vuʒ "	4	"d"						"Stem ""vužj-"""	"KoPRSl"
"Udmurt"	"A generic noun for the root of a plant."	"root"	9	504	"vi̮ži̮"	"vi̮ži̮"	"vɯʒɯ "	4	"d"							"WotjWsch"
"Hungarian"	"A generic noun for the root of a plant."	"root"	9	601	"gyökér"		"ɟøkeːr"	5	"e"							"FMSz"
"Sosva Mansi"	"A generic noun for the root of a plant."	"root"	9	701	"tār"	"tār"	"tɑːr "	6	"f"			"From PFU *särɜ 'vein, sinew'"				"WogWb"
"Vakh-Vasyugan Khanty"	"A generic noun for the root of a plant."	"root"	9	807	"ler"	"ler"	"ler "	6	"f"			"From PFU *särɜ 'vein, sinew'"				"DEWbOstj"
"Nganasan"	"A generic noun for the root of a plant."	"root"	9	901	"bəntu, bəntuə, bəndüaiˀ"	"bəntu, bəntuə, bəndüaiˀ"	"bəntu, bəntuə, bəndyɑiʔ"	3	"c"							"SlNgaRus"
"Tundra Nenets"	"A generic noun for the root of a plant."	"root"	9	902	"wano"			4	"d"							"JurSWb"
"Selkup"	"A generic noun for the root of a plant."	"root"	9	907	"končə"	"končə"	"konʧə"	4	"d"							"SolkWb"
"Proto-Uralic*"	"Second-person singular pronoun."	"you_sg"	10	0	"*ti-, *tun-"			1	"a"							"UEW, Sam88"
"South Saami"	"Second-person singular pronoun."	"you_sg"	10	101	"datne"			1	"a"							"NSsNdb"
"Ume Saami"	"Second-person singular pronoun."	"you_sg"	10	102	"dådˈna"			1	"a"							"WbWlap"
"Pite Saami"	"Second-person singular pronoun."	"you_sg"	10	104	"dån"			1	"a"							"EZ"
"North Saami"	"Second-person singular pronoun."	"you_sg"	10	105	"don"			1	"a"							"SSSg"
"Inari Saami"	"Second-person singular pronoun."	"you_sg"	10	106	"tun"			1	"a"							"InsSSk"
"Skolt Saami"	"Second-person singular pronoun."	"you_sg"	10	107	"ton"			1	"a"							"SKosSk"
"Kildin Saami"	"Second-person singular pronoun."	"you_sg"	10	108	"tōnn"		"toːnː"	1	"a"							"WOLD"
"Standard Finnish"	"Second-person singular pronoun."	"you_sg"	10	203	"sinä"		"sinæ"	1	"a"							"JL"
"Karelian Proper"	"Second-person singular pronoun."	"you_sg"	10	204	"sie, sinä"			1	"a"							"KKSV"
"Veps"	"Second-person singular pronoun."	"you_sg"	10	207	"śä, sińä"			1	"a"							"VVS"
"Ingrian"	"Second-person singular pronoun."	"you_sg"	10	208	"siä"	"siä"	"siæ "	1	"a"							"InkmSk"
"Western Votic"	"Second-person singular pronoun."	"you_sg"	10	209	"siä"	"siä"	"siæ "	1	"a"							"VKJMS"
"Standard Estonian"	"Second-person singular pronoun."	"you_sg"	10	210	"sa, sina"		"sɑ, sinɑ"	1	"a"							"SVSk"
"Võro South Estonian"	"Second-person singular pronoun."	"you_sg"	10	211	"sag, sina, sinno"			1	"a"							"VESr"
"Courland Livonian"	"Second-person singular pronoun."	"you_sg"	10	212	"sa, sinā"			1	"a"							"LivWb"
"Erzya"	"Second-person singular pronoun."	"you_sg"	10	301	"ton"	"ton"	"ton "	1	"a"							"MordWb"
"Meadow Mari"	"Second-person singular pronoun."	"you_sg"	10	401	"tə̑j"	"tə̑j"	"tə̠j "	1	"a"							"SMSk, TscherWb"
"Komi-Zyrian"	"Second-person singular pronoun."	"you_sg"	10	501	"te"	"te"	"te"	1	"a"							"SyrjWsch"
"Komi-Permyak"	"Second-person singular pronoun."	"you_sg"	10	503	"te"	"te"	"te"	1	"a"							"KoPRSl"
"Udmurt"	"Second-person singular pronoun."	"you_sg"	10	504	"ton"	"ton"	"ton "	1	"a"							"WotjWsch"
"Hungarian"	"Second-person singular pronoun."	"you_sg"	10	601	"te"		"tɛ"	1	"a"							"FMSz"
"Sosva Mansi"	"Second-person singular pronoun."	"you_sg"	10	701	"naŋ"	"naŋ"	"nɑŋ "	2	"b"							"WogWb"
"Vakh-Vasyugan Khanty"	"Second-person singular pronoun."	"you_sg"	10	807	"nö̆ŋ"	"nö̆ŋ"	"nø̆ŋ "	2	"b"							"DEWbOstj"
"Nganasan"	"Second-person singular pronoun."	"you_sg"	10	901	"tənə"	"tənə"	"tənə "	1	"a"							"SlNgaRus"
"Tundra Nenets"	"Second-person singular pronoun."	"you_sg"	10	902	"pidər°"			3	"c"							"JurSWb"
"Selkup"	"Second-person singular pronoun."	"you_sg"	10	907	"tan"	"tan"	"tɑn "	1	"a"							"SolkWb"
"Proto-Uralic*"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	0	"*tuli̮-"			1	"a"							"UEW, Sam88"
"South Saami"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	101	"båetedh"			2	"b"							"NSsNdb"
"Ume Saami"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	102	"bååhteet"			2	"b"							"WbWlap"
"Pite Saami"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	104	"båhtet"			2	"b"							"EZ"
"North Saami"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	105	"boahtit"			2	"b"							"SSSg"
"Inari Saami"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	106	"poattiđ"			2	"b"							"InsSSk"
"Skolt Saami"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	107	"pueʹtted"			2	"b"							"SKosSk"
"Kildin Saami"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	108	"puedt’e"		"puedːʲe"	2	"b"							"WOLD"
"Standard Finnish"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	203	"tulla"		"t̪ulːɑ"	1	"a"							"JL"
"Karelian Proper"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	204	"tulla"			1	"a"							"KKSV"
"Veps"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	207	"tulda ~ tūda"			1	"a"							"VVS"
"Ingrian"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	208	"tulla"	"tulla"	"tulːɑ"	1	"a"							"InkmSk"
"Western Votic"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	209	"tuлe̮ma"	"tule̮ma"	"tulɤmɑ"	1	"a"							"VKJMS"
"Standard Estonian"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	210	"tulla"		"tulːɑ"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	211	"tulõma"			1	"a"							"VESr"
"Courland Livonian"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	212	"tūlda"			1	"a"							"LivWb"
"Erzya"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	301	"sams"	"sams"	"sɑms "	3	"c"	"Indo-Iranian"	"clear"		"Holopainen2019"			"MordWb"
"Meadow Mari"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	401	"tolam"	"tolam"	"tolɑm"	1	"a"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	501	"lokni̮"	"lokni̮"	"loknɯ"	5	"e"			"From PFU *läkti- 'leave, depart'"				"SyrjWsch"
"Komi-Zyrian"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	501	"voni̮"	"voni̮"	"vonɯ "	4	"d"							"SyrjWsch"
"Komi-Permyak"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	503	"lokni̮"	"lokni̮"	"loknɯ"	5	"e"			"From PFU *läkti- 'leave, depart'"			"Stem ""lokt-"""	"KoPRSl"
"Udmurt"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	504	"li̮kti̮ni̮"	"li̮kti̮ni̮"	"lɯktɯnɯ "	5	"e"			"From PFU *läkti- 'leave, depart'"				"WotjWsch"
"Udmurt"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	504	"vui̮ni̮"	"vui̮ni̮"	"vuɯnɯ"	4	"d"							"WotjWsch"
"Hungarian"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	601	"jön"		"jøn"	6	"f"							"FMSz"
"Sosva Mansi"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	701	"juw ~ jiw"	"juw, jiw"	"juw, jiw "	6	"f"							"WogWb"
"Vakh-Vasyugan Khanty"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	807	"jö̆-"	"jö̆-"	"jø̆- "	6	"f"							"DEWbOstj"
"Vakh-Vasyugan Khanty"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	807	"jŏχǝt-"	"jŏχət-"	"jŏχət-"	7	"g"							"DEWbOstj"
"Nganasan"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	901	"tujśa"	"tujśa"	"tujɕɑ"	1	"a"							"SlNgaRus"
"Tundra Nenets"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	902	"tosy°"			1	"a"							"JurSWb"
"Selkup"	"A generic verb for 'come', i.e. move towards a person's current location."	"come"	11	907	"tǖ-"	"tǖ-"	"tyː- "	1	"a"							"SolkWb"
"Proto-Uralic*"	"A generic noun for a female breast."	"breast"	12	0	"[Not reconstructable]"			"?"	"?"							"UEW, Sam88"
"South Saami"	"A generic noun for a female breast."	"breast"	12	101	"mïelke"			8	"h"							"NSsNdb"
"Ume Saami"	"A generic noun for a female breast."	"breast"	12	102	"vuabˈda"			3	"c"							"WbWlap"
"Pite Saami"	"A generic noun for a female breast."	"breast"	12	104	"vuabbda"			3	"c"							"EZ"
"North Saami"	"A generic noun for a female breast."	"breast"	12	105	"raddi"			1	"a"							"SSSg"
"Inari Saami"	"A generic noun for a female breast."	"breast"	12	106	"radde"			1	"a"							"InsSSk"
"Skolt Saami"	"A generic noun for a female breast."	"breast"	12	107	"râʹdd"			1	"a"							"SKosSk"
"Kildin Saami"	"A generic noun for a female breast."	"breast"	12	108	"ninnč"		"ninːtʃ"	14	"n"							"WOLD"
"Kildin Saami"	"A generic noun for a female breast."	"breast"	12	108	"rann’t"		"ranːʲt"	1	"a"							"WOLD"
"Standard Finnish"	"A generic noun for a female breast."	"breast"	12	203	"rinta"		"rin̪t̪ɑ"	1	"a"							"JL"
"Karelian Proper"	"A generic noun for a female breast."	"breast"	12	204	"nänni"			11	"k"					"'Nipple, breast'"		"KKSV"
"Karelian Proper"	"A generic noun for a female breast."	"breast"	12	204	"rinta"			1	"a"							"KKSV"
"Karelian Proper"	"A generic noun for a female breast."	"breast"	12	204	"rynnäs"			2	"b"							"KKSV"
"Veps"	"A generic noun for a female breast."	"breast"	12	207	"rind"			1	"a"							"VVS"
"Ingrian"	"A generic noun for a female breast."	"breast"	12	208	"rinᴅa"	"rinᴅa"	"rind̥ɑ"	1	"a"							"InkmSk"
"Western Votic"	"A generic noun for a female breast."	"breast"	12	209	"rint"	"rint"	"rint "	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun for a female breast."	"breast"	12	210	"rind"		"rint"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic noun for a female breast."	"breast"	12	211	"rind ~ rõnd"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun for a female breast."	"breast"	12	212	"rīnda"			1	"a"							"LivWb"
"Erzya"	"A generic noun for a female breast."	"breast"	12	301	"meštʹe"	"meštʹe"	"meʃtʲe"	4	"d"							"MordWb"
"Erzya"	"A generic noun for a female breast."	"breast"	12	301	"potʹe, potʹetʹ"	"potʹe, potʹetʹ"	"potʲe, potʲetʲ"	12	"l"							"MordWb"
"Meadow Mari"	"A generic noun for a female breast."	"breast"	12	401	"čə̑ze"	"čə̑ze"	"ʧə̠ze "	13	"m"			"From PU *śüńśä?"		"Nipple, breasts'"		"SMSk, TscherWb"
